〇	〇,Ol
㙊	土長,JEz
㙋	土其,JHq
㙌	土彐小{介下},JBCT
㙍	土又又又,JDDD
㙎	土戊一女,JFGC
㙏	土𠂉日夂,JPKV
㙐	土山而,JMGe
㙑	丿虫冂土,PLMJ
㙒	田予土,KBJt
㙓	土土土土,JJJJ
㙔	土韋,JDw
㙕	土田月,JKSv
㙖	土丿虫冂,JPLM
㙗	土田{畏下},JKFu
㙘	土覀女,JECv
㙙	氵尤彡土,ZJSJ
㙚	土䒑土牛,JXJP
㙛	土甫寸,JEIc
㙜	亠口口土,YOOJ
㙝	土力力月,JCCS
㙞	土自木,JTIv
㙟	土丶厶月,JWAS
㙠	匚矢土,FPJf
㙡	土彳人龰,JSUL
㙢	土艹入入,JHVV
㙣	土弓長,JDEz
㙤	土虍丷𬺰,JLXI
㙥	土衣八厶,JWTA
㙦	人一十土,UGEJ
㙧	土丌コ田,JHDK
㙨	土幺戈人,JAFU
㙩	土大日小,JFKC
㙪	土士口䒑,JJOX
㙫	土隹木,JTIv
㙬	木人犬土,IUJJ
㙭	土厂屮欠,JGAQ
㙮	土⺮一口,JPGO
㙯	土八二厶,JTEA
㙰	⺈用牛土,QSPJ
㙱	口丂几土,OJQJ
㙲	土亠丿隹,JYPT
㙳	土戊口心,JFOR
㙴	土⺈八言,JQTY
㙵	土亠口土,JYOJ
㙶	亠口口土,YOOJ
㙷	土日幺灬,JKAS
㙸	土亻䒑{养上},JTXX
㙹	土艹冖夕,JHQQ
㙺	土匚丄貝,JFON
㙻	土广八土,JWTJ
㙼	土田田田,JKKK
㙽	土大丆日,JFGK
㙾	土𦥑冖子,JUQB
㙿	土䒑丂戈,JXJF
㚀	土虍䒑戈,JLXF
㚁	土土土兀,JJJG
㚂	土十𠀎𧘇,JEHR
㚃	士冖凵䒑,JQAX
㚄	士冖乛龰,JQBL
㚅	夂一生,VGPs
㚆	亠日夂,YKVu
㚇	乂凵夂,TAVi
㚈	夕十,QEux
㚉	乃夕夕,AQQn
㚊	夕夕亥,QQYx
㚋	夕夕口,QQOx
㚌	夕夕木,QQIx
㚍	夕夕貝,QQNx
㚎	大凵,FAud
㚏	大廾,FHvd
㚐	大大,FFdd
㚑	彐大,BFd
㚒	大入入,FVVd
㚓	大木,FIvd
㚔	大䒑十,FXEd
㚕	大弓{介下},FDTd
㚖	白大,UFdb
㚗	大且,FNqd
㚘	夫夫,JJff
㚙	力口大,COFl
㚚	大夕口,FQOd
㚛	大匕日,FVKd
㚜	大戈一,FFGd
㚝	大亻土,FTJd
㚞	大木木,FIId
㚟	⺈口比大,QOVF
㚠	大䒑灬,FXSd
㚡	大丁口,FEOd
㚢	亻女,TCv
㚣	女女,CCv
㚤	女弋,CFi
㚥	女一𬺰,CGIu
㚦	女丌,CHj
㚧	女广,CWg
㚨	女乙十,CBEu
㚩	女冂二,CMEe
㚪	女毛,CRm
㚫	女乃丶,CAWu
㚬	女勹冫,CSXs
㚭	女尤,CJo
㚮	女冖几,CQQj
㚯	女几乂,CQTi
㚰	女不一,CGGu
㚱	女亻工,CTIg
㚲	女⺊口,CLOv
㚳	女力口,CCOv
㚴	女𠂇巾,CHMj
㚵	女夂⺀,CVZu
㚶	女尸コ,CDDu
㚷	女人小,CUCx
㚸	女一口,CBGO
㚹	女{卬左}丿卩,CVPA
㚺	女乃子,CABz
㚻	田女,KCvt
㚼	女田,CKt
㚽	工丂女,IJCg
㚾	女口儿,COVe
㚿	女勹巳,CSDs
㛀	女⺈彐,CQBu
㛁	女干丷,CEXu
㛂	女⺁巴,CRDb
㛃	丰刀女,IDCf
㛄	女衣,CWy
㛅	女耳,CHe
㛆	女乃木,CAIv
㛇	女广土,CWJv
㛈	女耂丂,CJJk
㛉	女西,CEx
㛊	女几木,CQIv
㛋	女人小丶,CUCW
㛌	女厶牛,CAPn
㛍	女大人人,CFUU
㛎	女口口,COOv
㛏	女𬺰{四点}丶,CIXW
㛐	女一日乂,CGKT
㛑	⺊夕又女,LQDC
㛒	女一口䒑,CGOX
㛓	女乂𠂇巾,CTHM
㛔	女夂丰,CVIf
㛕	女口巴,CODb
㛖	女厶八夂,CATV
㛗	女人人土,CUUJ
㛘	女十冖子,CEQB
㛙	女辛,CYx
㛚	女龴用,CDSy
㛛	女身,CTs
㛜	亻丨夂女,TKVC
㛝	女貝,CNb
㛞	女王廾,CEHv
㛟	女⺈冂大,CQMF
㛠	女门日,CZKv
㛡	女宀一兀,CWGG
㛢	女禾乃,CRAn
㛣	女口贝,COMb
㛤	女一冂丶,CGMW
㛥	女水日,CAKv
㛦	女木木,CIIv
㛧	女山石,CMGv
㛨	女羊乚,CXCu
㛩	女亠厶月,CYAS
㛪	女大电,CFKd
㛫	女日勹𰀪,CKSS
㛬	女土八土,CJTJ
㛭	女龷日,CHKv
㛮	女宀火又,CWXD
㛯	女⺈儿力,CQVC
㛰	女巳七日,CDFK
㛱	女田{畏下},CKFu
㛲	女頁,CGy
㛳	亠丷巾女,YXMC
㛴	女巛{囟框}乂,CCUT
㛵	女爫冂土,CVMJ
㛶	女山𠂇火,CMHX
㛷	禾尤女,RJCv
㛸	女士口䒑,CJOX
㛹	女亻日乂,CTKT
㛺	女音,CYn
㛻	女大土土,CFJJ
㛼	女千臼,CRUj
㛽	女宀米,CWXm
㛾	女戊一口,CFGO
㛿	女卅冖巾,CHQM
㜀	女木目,CINv
㜁	女木日一,CIKG
㜂	土土寸女,JJIC
㜃	女亻言,CTYv
㜄	女風,CQf
㜅	女亠幺田,CYAK
㜆	女米辶,CXZd
㜇	女土土心,CJJR
㜈	矛夂女,BVCm
㜉	女巛口巴,CCOD
㜊	女尸艹{畏下},CDHF
㜋	女䒑八皿,CXTM
㜌	士冖女殳,JQCQ
㜍	女广丨口,CWKO
㜎	女爫幺大,CVAF
㜏	女口貝,CONb
㜐	女山口䒑,CMOX
㜑	氵甫女,ZECv
㜒	女臼廾,CUHv
㜓	女艹一口,CHGO
㜔	女立口儿,CYOV
㜕	女車辶,CJZd
㜖	女𠀎冂日,CHMK
㜗	女厶人彡,CAUS
㜘	女虍且,CLNq
㜙	女鹿,CWl
㜚	女宀丆日,CWGK
㜛	女車欠,CJQq
㜜	女龶⺈攵,CEQP
㜝	女人乛酉,CUBE
㜞	車⺁女,JRCc
㜟	女乛耳攵,CBHP
㜠	女山隹,CMTw
