曰	日
𠢃	日竹大尸
𣈭	日竹中月
剔	日竹中弓
𭃶	日竹中弓
𭦡	日竹中人
𭨷	日竹中口
𣉷	日竹一火山
𣈨	日竹一十
昕	日竹一中
𰑶	日竹一心
𭧜	日竹弓木
𰕶	日竹弓水
𭧞	日竹弓竹
𣈼	日竹弓戈
𣈟	日竹弓十
𣈟	日竹弓大
𬪉	日竹弓中
𬪌	日竹弓中
𭭐	日竹弓人
𣆎	日竹弓手
㫟	日竹弓口
𣉹	日竹人木
𬁊	日竹人木
𠭲	日竹人水
暀	日竹人土
𣇭	日竹人土
𣈧	日竹人土
𰖿	日竹人土
敭	日竹人大
𥏬	日竹人大
𫾻	日竹人大
𣊗	日竹人中
𣆯	日竹人弓
暰	日竹人人
晷	日竹人口
𭧮	日竹人尸
𭦶	日竹人女
惖	日竹心
𣅒	日竹心
𭝓	日竹心
𣇲	日竹心日
𭧚	日竹心木大
𣌸	日竹心中
𰖄	日竹心中
㫝	日竹心一
𣅫	日竹手
𤘵	日竹手
𣇕	日竹手戈
星	日竹手一
甠	日竹手一
昳	日竹手人
晧	日竹手口
𪰌	日竹手山
𭦵	日竹口土
𣈛	日竹口弓
昈	日竹尸
𣉥	日竹尸水
𭨌	日竹尸火
𭧺	日竹尸火木
曒	日竹尸大
㫹	日竹尸中
𣌸	日竹尸中
𰭤	日竹尸一一
𣇯	日竹尸尸
昇	日竹廿
𣅮	日竹廿
𪞋	日竹廿金
𥂺	日竹廿金廿
𣌒	日竹廿土戈
𰖽	日竹山金
暞	日竹山木
曍	日竹山十
𣊊	日竹山一
㫝	日竹女戈
昂	日竹女中
𪱁	日竹田土
𣆵	日竹難
𣋱	日竹難金
𣈵	日竹難人
𭦺	日竹難人
𣉃	日竹難尸
晲	日竹難山
𣌿	日竹卜日
敡	日竹卜水
𢾙	日竹卜水
𣋇	日竹卜大戈
晷	日竹卜口
旷	日戈
𣈗	日戈日
㫰	日戈日女
㬍	日戈月戈
𥋹	日戈月山心
𬁛	日戈金金
晙	日戈金水
𭦕	日戈金水
𣊍	日戈木木
𡬠	日戈木戈
𣋟	日戈木戈
𬊏	日戈火
𣇚	日戈火水
㬕	日戈火手
𣆮	日戈土
𣆈	日戈竹
鵖	日戈竹日火
𬁛	日戈竹金
𣆒	日戈竹戈
𣆭	日戈竹戈
𣮊	日戈竹手山
晟	日戈竹尸
晠	日戈竹尸
𠕠	日戈竹尸
𭥠	日戈竹山
昿	日戈戈
𬁈	日戈戈中
晡	日戈十月
𭥢	日戈十水
𪰽	日戈十十
𣅤	日戈大
㬙	日戈大火
昽	日戈大心
㬖	日戈大口
𪟙	日戈大尸
𣈠	日戈大廿
𭧠	日戈中水
𣌮	日戈中中
𪰢	日戈中中
𠠡	日戈中弓
𪰼	日戈中口
䫀	日戈一月金
𣇝	日戈一戈
𣇝	日戈一中
既	日戈一中山
𣇈	日戈一山
𭥊	日戈一山十
𤮦	日戈一女弓
𬎬	日戈一女弓
既	日戈一女山
𭨴	日戈弓
昹	日戈弓水
㫤	日戈弓水
𪰰	日戈弓中
𣢣	日戈弓人
𠊛	日戈人
𭦥	日戈人戈
𫴮	日戈人一一
𭔳	日戈心木
𣋳	日戈心火
𪰜	日戈心一
𱉝	日戈心卜一
𭥿	日戈手
𣅿	日戈口
㬃	日戈口火
𠘀	日戈口一
𠘀	日戈口卜
昈	日戈尸
𠮊	日戈尸十水
即	日戈尸中
䳭	日戈尸中火
𱉼	日戈尸中一
𣇯	日戈尸尸
昪	日戈廿
曠	日戈廿金
𣋷	日戈廿金
𬁛	日戈廿金
𣌏	日戈廿人水
𣊈	日戈難心
𣈔	日戈卜口
𣈘	日戈卜口
早	日十
旪	日十
𭧶	日十日火
𨷝	日十日一山
昁	日十月
𭧃	日十月月水
𣉮	日十月金
𭦬	日十月金
㫲	日十月木
暔	日十月十
𣈍	日十月一
𣇣	日十月一
𬁁	日十月一
𣇣	日十月女
𭦑	日十金水
𭦿	日十金水
𣈞	日十金一
𣇬	日十金弓
𣋶	日十金弓
𭦒	日十金弓
𬁎	日十金口
昧	日十木
𣇆	日十木
𤿧	日十木竹水
𪸣	日十火
𬁄	日十土弓人
䳚	日十竹日火
𭦞	日十竹土山
𪫉	日十竹竹竹
𣇟	日十竹手
𬀵	日十竹手人
𣭸	日十竹手山
𰖸	日十竹田
𢧀	日十戈
𭧄	日十戈日女
𰖺	日十戈金
𰖜	日十戈木
暷	日十戈戈
𭧧	日十戈戈
𰍯	日十戈大山
𪱇	日十戈心
𣈻	日十戈口
𣊿	日十十月
𣋂	日十十月
𢻣	日十十水
𣊙	日十十中
暑	日十大日
暏	日十大日
㫴	日十大木
曢	日十大火
𪰧	日十大戈
𪰚	日十大心
𰕹	日十大尸
𣆘	日十中大
㫸	日十中人
𣋪	日十一金
𣊇	日十一金
𪱄	日十一金
𣇼	日十一火
𰿠	日十一大
暄	日十一一
𭦤	日十一人
晥	日十一山
𬁗	日十一田
𰖀	日十弓土
𨚰	日十弓中
𨛎	日十弓中
晼	日十弓山
𨿑	日十人土
𭦝	日十人戈戈
𢽎	日十人大
𭦜	日十人一十
𭦝	日十人一中
𭥡	日十人弓
𣅸	日十心
𰕴	日十心
𣉟	日十心日
晓	日十心山
𱉶	日十心卜一
𬀬	日十口
𣌔	日十口金
𰖇	日十口山
𭅸	日十尸中
𭧥	日十廿金
暁	日十廿山
𠘗	日十廿卜
𣋢	日十山山
晏	日十女
㫨	日十女
𭧵	日十田女
㪋	日十卜水
𰖓	日十卜大
𭧓	日十卜口弓
𭧓	日十卜口山
𣃸	日十卜尸
旲	日大
𭥏	日大
𭥯	日大月
𬡿	日大月山山
暸	日大金火
𣉜	日大木水
𭥱	日大木戈
𬀯	日大火
𡋵	日大土
𡑅	日大土
𣈐	日大土
𭦭	日大土土
𪱂	日大竹日
𬁑	日大竹日
𰖌	日大竹土
𭧤	日大十日
𪰫	日大十廿
晞	日大大月
𣆱	日大中木
𧋯	日大中戈
昦	日大中中
晻	日大中山
晻	日大中女
𩓌	日大一月金
𬱉	日大一月金
𭦛	日大一火
晇	日大一尸
𩉂	日大一田中
𩉎	日大一田中
旯	日大弓
𣆰	日大弓
𣅢	日大弓十
𨛴	日大弓中
𩞹	日大人戈女
𩞹	日大人一女
𣇍	日大人人
㦔	日大心
𢡻	日大心
𢣮	日大心
𪬒	日大心
𭞘	日大心
𢵤	日大手
㫑	日大尸
𪰘	日大尸口
𭦀	日大尸尸
𦀤	日大女火
𪒞	日大田土火
𠁣	日中
𣌦	日中
𫡆	日中日
𨳈	日中日中
映	日中月大
𪰔	日中月大
𣋡	日中月人
𣅟	日中月山
𣇨	日中水
𠬩	日中水
𣌻	日中火中
堲	日中土
𪃹	日中竹日火
𮭅	日中竹日火
𬁅	日中戈一
𣉗	日中大廿
𣅕	日中中中
昲	日中中弓
𭧖	日中中女
𭧫	日中一金
𰀤	日中一土
𣆣	日中一戈
𰲭	日中一戈
晁	日中一人
晀	日中一人
𣌫	日中一心
𣅬	日中一心
𰖵	日中一廿
暃	日中一卜
㫵	日中一卜
曊	日中弓金
𣆜	日中弓一
𠨠	日中弓人
𣣝	日中弓人
𪰶	日中弓人
𬻴	日中人戈戈
𬻴	日中人一中
𠘀	日中口一
𠘀	日中口卜
𨂢	日中口卜人
𬁘	日中尸田
𡷦	日中山
𰕼	日中田中
㫣	日中田山
㫣	日中田女
㬘	日中難
𣉦	日中難中
𣊾	日中卜心
旦	日一
𪰆	日一
𭥐	日一
𣇖	日一日
𪰲	日一日木
晅	日一日一
曘	日一月月
𣊵	日一月月
暊	日一月金
𣌊	日一月水
𰖖	日一月水
曤	日一月土
𪱑	日一月土
曇	日一月戈
曧	日一月戈
㬡	日一月戈
𣊯	日一月戈
㬉	日一月大
㬡	日一月中
𣆝	日一月中
𣇥	日一月一
𣌟	日一月人
𬀼	日一月尸
𣋔	日一月山
𧡰	日一月山山
𧡶	日一月山山
㬐	日一金日
𣋗	日一金日
晒	日一金田
𰕿	日一金田
旴	日一木
㝵	日一木戈
昄	日一水
𭥒	日一水
𣌛	日一水金
𰖞	日一水木戈
𬀯	日一火
𬊏	日一火
𠕰	日一火月
𣍓	日一火月
𭨁	日一火月
𪰓	日一火十
𣆏	日一火一
㬕	日一火手
𣇊	日一火口
旺	日一土
𭥕	日一土
㬄	日一土金
𪰑	日一土戈
𫞂	日一土戈
𭧇	日一土大
𠕥	日一土弓
𭦄	日一土廿
鴠	日一竹日火
𪄚	日一竹日火
𪰬	日一竹木弓
𤋁	日一竹火
𣌌	日一竹竹金
𣌅	日一竹一
𣆽	日一竹弓
𪰝	日一竹弓
毾	日一竹手山
𬁚	日一竹難人
戥	日一戈
𢧫	日一戈
㬐	日一戈日
晊	日一戈土
旱	日一十
旰	日一十
𬁖	日一十竹手
𣊟	日一十大
𢙶	日一十心
𣊋	日一十口
𡝎	日一十女
昊	日一大
𣅐	日一大
𭥔	日一大
𰖒	日一大日
𪱑	日一大土
昮	日一大尸
𠡎	日一大尸
𰅊	日一大尸
𰕵	日一大尸
𣆳	日一中大
𣇅	日一中中
𪰥	日一中一
𰖐	日一中一
𠛣	日一中弓
𠞈	日一中弓
𫦡	日一中弓
𭧼	日一中尸月
𣄾	日一一
𩑰	日一一月金
𪻹	日一一土戈
𣌜	日一一竹一
昙	日一一戈
𭥓	日一一戈
晸	日一一大
𪰱	日一一大
𫝝	日一一大
𣆞	日一一一
曬	日一一心
晤	日一一口
𣅘	日一一尸
𣅙	日一一尸
𪰈	日一一山
𭥖	日一一山
晨	日一一女
𤭼	日一一女弓
𣄿	日一弓
𭥌	日一弓
㫤	日一弓水
𫝝	日一弓大
𮟻	日一弓中
𬀰	日一弓弓
𣤞	日一弓人
𪰏	日一弓口
昃	日一人
𣌁	日一人日
𣌂	日一人日
昺	日一人月
昞	日一人月
𭦷	日一人月
𪱎	日一人一弓
𪱊	日一人一口
𪱎	日一人一女
𰁉	日一人弓
𢘇	日一心
𰖡	日一心金
𣆃	日一心一
𱉗	日一心卜一
𰖳	日一心卜山
𪰒	日一口
㬏	日一口月
𰖉	日一口廿
鼂	日一口山
鼌	日一口山
𣇗	日一尸水
昜	日一尸竹
𬀶	日一尸竹
昻	日一尸中
𧰮	日一尸人
曞	日一廿月
𭧻	日一廿月尸
㫫	日一廿金
𣊥	日一廿火
𰖈	日一廿竹
𬀽	日一廿十
㫕	日一山
𣇎	日一山弓
𣉓	日一女土
𣅥	日一女一
𣇁	日一女一
𰕱	日一女尸
𣆧	日一女山
𣈺	日一田月
𭧅	日一田木
𬉨	日一田水
㬓	日一田火
𣊠	日一田火
量	日一田土
𭧰	日一田土
曋	日一田十
𣊢	日一田十
𣉋	日一田女
𩉉	日一田難
𬀧	日一卜
𭨅	日一卜月月
𣌚	日一卜火
昰	日一卜一
𰕸	日一卜一
是	日一卜人
𣋮	日一卜心尸
門	日弓
𠃛	日弓
𣄻	日弓
𭥋	日弓
間	日弓日
閶	日弓日日
𨵛	日弓日月
𨵷	日弓日月廿
𮤔	日弓日金金
𨵒	日弓日竹廿
𠕤	日弓日戈
𮤔	日弓日戈人
𨴝	日弓日十
𨷄	日弓日十日
𨶁	日弓日十女
䦔	日弓日一
𨵶	日弓日一竹
𨵏	日弓日一戈
闁	日弓日弓
𨷮	日弓日弓弓
𨷾	日弓日弓弓
䦪	日弓日心女
闒	日弓日尸一
晚	日弓日山
冕	日弓日山
晩	日弓日山
䦘	日弓日女
閺	日弓日卜大
閒	日弓月
𬮈	日弓月
閿	日弓月月水
𮤊	日弓月月一
𨵧	日弓月月口
闝	日弓月金大
𪱏	日弓月水
𨵐	日弓月竹水
䦱	日弓月竹火
𨶒	日弓月竹難
㬇	日弓月大
𨳠	日弓月大
𨵻	日弓月中日
𨵙	日弓月一金
𨴏	日弓月一口
𨴫	日弓月弓木
𨶫	日弓月人火
𨴀	日弓月口
𨷴	日弓月口火
𨷸	日弓月口火
䦛	日弓月尸木
𨵟	日弓月尸水
𮤊	日弓月廿
𨴕	日弓月廿廿
𫔝	日弓月山
閴	日弓月山金
闅	日弓月山水
䦩	日弓月山水
𨷱	日弓月山火
闃	日弓月山大
𨵢	日弓月山大
𨴼	日弓月山山
䦦	日弓金
𨳗	日弓金戈
𰿛	日弓金中
𨳣	日弓金一尸
𨶂	日弓金一廿
𮤧	日弓金人戈
𮤧	日弓金人中
曕	日弓金口
𭧬	日弓金口
閱	日弓金口山
閲	日弓金口山
𨳚	日弓金尸竹
𢡙	日弓金尸心
閑	日弓木
㫗	日弓木
𬮓	日弓木月月
䦥	日弓木木
𨴺	日弓木木戈
閉	日弓木竹
䦑	日弓木大
𨴨	日弓木中
𨵾	日弓木一月
闈	日弓木一手
𰖕	日弓木廿
𭥛	日弓木山
䦨	日弓木田
闌	日弓木田火
閖	日弓水
𨵝	日弓水日
𮤥	日弓水月日
𨳦	日弓水水
䦤	日弓水水水
𨶺	日弓水水水
閯	日弓水火竹
䦢	日弓水土戈
闊	日弓水竹口
𨶖	日弓水竹口
𨵨	日弓水竹廿
𨵔	日弓水戈口
𨶗	日弓水戈女
𨵕	日弓水中戈
𮤏	日弓水一
