曰	日
㻡	一土心廿木
𤤀	一土心山
𤥘	一土心女水
𬸈	一土心卜一
𬸰	一土心卜一
𱉍	一土心卜一
𬎛	一土手月木
𰡺	一土手木
𤩦	一土手竹火
𤧃	一土手竹大
𪻢	一土手竹中
玤	一土手十
㻰	一土手十一
𤪳	一土手十心
㻰	一土手十尸
瑃	一土手大日
臻	一土手大木
瑧	一土手大木
𪼃	一土手大水
𬛴	一土手大水
𬛵	一土手大火
𰡽	一土手大戈
𦥇	一土手大大
𬍴	一土手大大
琫	一土手大手
𮍣	一土手大手
𤦭	一土手一月
𤧉	一土手一火
𤨄	一土手一火
瑇	一土手一竹
瑇	一土手一十
𭹙	一土手一女
瑇	一土手一卜
玞	一土手人
瓉	一土手人金
玮	一土手尸
璈	一土手尸大
𪠅	一土口
琄	一土口月
𬍽	一土口月金
𭺂	一土口月口
𤥯	一土口木
珵	一土口竹土
珵	一土口一土
㻍	一土口一大
璐	一土口一口
瑉	一土口心日
噩	一土口口
𪡅	一土口口
璪	一土口口木
𤩧	一土口口十
𤪛	一土口口十
𤫠	一土口口大
𰢖	一土口尸月
瑕	一土口尸水
𤩩	一土口尸一
𤩭	一土口尸山
𤩄	一土口山金
𤩄	一土口女金
㻍	一土口女大
珉	一土口女心
珿	一土口卜人
𤦵	一土尸日女
𤦡	一土尸金
𤩴	一土尸金水
𪼑	一土尸水土
𬎠	一土尸水戈
𪼟	一土尸水手
𤧁	一土尸火木
𠞢	一土尸竹
𭸵	一土尸竹
䑒	一土尸竹竹
𤤊	一土尸竹竹
䑒	一土尸竹戈
玿	一土尸竹口
㻊	一土尸竹山
𤦆	一土尸竹難
璼	一土尸戈廿
珥	一土尸十
㻓	一土尸十水
𰢚	一土尸十十
瑘	一土尸十中
琚	一土尸十口
厫	一土尸大
䑒	一土尸大
𤣹	一土尸大
𪻟	一土尸大月
珺	一土尸大口
𤥈	一土尸中月
㺿	一土尸中中
𭹔	一土尸一水
㻏	一土尸一火
璆	一土尸一竹
璕	一土尸一戈
𬍤	一土尸一戈
璻	一土尸一十
珝	一土尸一一
𦒧	一土尸一一
璼	一土尸一廿
㻵	一土尸弓木
𤤗	一土尸心
𦤽	一土尸心
瑪	一土尸手火
𤥶	一土尸手中
𬍨	一土尸口中
𰢋	一土尸口口
𭸾	一土尸尸
𤩉	一土尸尸口
𤧅	一土尸廿廿
𤧷	一土尸廿女
玘	一土尸山
𤣱	一土尸山
㻕	一土尸山山
𤩇	一土尸女口
𤤃	一土尸卜
𤧅	一土尸卜十
弄	一土廿
𤦘	一土廿日
𬎇	一土廿日大
𤪶	一土廿日心
𤩲	一土廿日女
𬎟	一土廿日田
琠	一土廿月金
𦥃	一土廿月金
𬎆	一土廿月戈
𤩀	一土廿月大
𪼘	一土廿月一
瑐	一土廿月弓
𤪑	一土廿月人
𫞧	一土廿月尸
𤨰	一土廿月山
𬎈	一土廿月山
珙	一土廿金
𤩒	一土廿金木
𤩶	一土廿金木
𤨶	一土廿金水
𤪌	一土廿金火
璂	一土廿金土
𤪣	一土廿金土
𤦈	一土廿金竹
𤩐	一土廿金中
璞	一土廿金人
𤧴	一土廿金心
𤨃	一土廿金口
𬎃	一土廿金廿
𤧈	一土廿金山
㻥	一土廿金田
𭺁	一土廿木手
𤨸	一土廿水月
𭹴	一土廿土水
㼁	一土廿土戈
𤧞	一土廿土大
𤩕	一土廿土口
𪼯	一土廿土尸
瓂	一土廿土廿
琷	一土廿土山
𤨩	一土廿竹土
瑳	一土廿竹一
㻳	一土廿竹弓
璓	一土廿竹尸
㕑	一土廿戈
𤨳	一土廿戈月
𤦧	一土廿戈人
𬎔	一土廿十中
𤨛	一土廿十一
𤫃	一土廿十心
𤧳	一土廿十心
𤪜	一土廿十口
𤨕	一土廿十尸
𪼒	一土廿十山
𪻚	一土廿大
𪼫	一土廿大中
𪻷	一土廿大口
𤥉	一土廿大尸
璊	一土廿中月
𤨸	一土廿中月
璜	一土廿中金
𤫇	一土廿中火
𭹤	一土廿中十
瑛	一土廿中大
瑾	一土廿中一
𤨢	一土廿中人
玵	一土廿一
𤩓	一土廿一日
𫞩	一土廿一月
琪	一土廿一金
璜	一土廿一金
𤧀	一土廿一木
璍	一土廿一十
𬍷	一土廿一十
𪻸	一土廿一口
㻣	一土廿一女
𤩸	一土廿弓大
𤧌	一土廿弓山
瑹	一土廿人木
𤨓	一土廿人木
瓁	一土廿人水
𤧍	一土廿人戈
𤧍	一土廿人中
𤦙	一土廿人心
𤨑	一土廿人口
𪼧	一土廿人口
𢚸	一土廿心
𤩿	一土廿心心
㻤	一土廿心口
珜	一土廿手
𫇑	一土廿手木
𤨩	一土廿手土
瑳	一土廿手一
琷	一土廿手山
𤨷	一土廿口木
瓘	一土廿口土
𭺃	一土廿口十
璥	一土廿口大
𤩭	一土廿尸弓
㻂	一土廿廿
𤩕	一土廿廿口
𪼎	一土廿山戈
𤧹	一土廿女戈
𭹼	一土廿田戈
𤫧	一土廿田一
𩐔	一土廿田一
𰢓	一土廿田廿
㻩	一土廿難金
𭺖	一土廿卜水
𤪼	一土廿卜十
𭹛	一土廿卜尸
玌	一土山
𤨾	一土山日心
𤪀	一土山金水
𤪖	一土山火大
𤩫	一土山竹戈
𪼇	一土山竹十
𭹧	一土山竹口
𤨲	一土山十火
𡐜	一土山中山
瑞	一土山一月
𬍰	一土山一口
𤧸	一土山一廿
𪻱	一土山弓水
瓗	一土山人月
璀	一土山人土
𬍮	一土山人竹
琌	一土山人弓
㼇	一土山人尸
𤤓	一土山手
𤨈	一土山口月
𤩑	一土山廿弓
𬍑	一土山山
𤨉	一土山山大
𤣷	一土女
𭒁	一土女
𤩬	一土女竹中
瓅	一土女戈木
璣	一土女戈戈
璣	一土女戈大
𤤳	一土女戈人
𤤬	一土女戈尸
𤪫	一土女戈山
㼄	一土女戈田
㺩	一土女中
𤨿	一土女一戈
璏	一土女一心
琭	一土女弓水
瑑	一土女弓人
𬍣	一土女口
𤣫	一土女尸
𤨏	一土女女金
璅	一土女女木
𤧜	一土女女心
𤤼	一土女女山
𤦄	一土女女山
㼃	一土女女女
瑙	一土女女田
𤤦	一土田
𭹭	一土田金水
琾	一土田金中
𤥳	一土田木
𬍯	一土田木
𭺍	一土田火大
理	一土田土
𤪯	一土田土土
㻒	一土田竹木
𪼓	一土田戈一
瑻	一土田十金
𪻲	一土田十人
珚	一土田大
𤨒	一土田大心
玾	一土田中
㻦	一土田中月
𤪁	一土田中火
㼈	一土田中土
㻿	一土田中戈
𪼢	一土田中十
𭹜	一土田中弓
𤪄	一土田中山
環	一土田中女
𤨔	一土田中女
𤪄	一土田中女
𤪹	一土田中女
𤫛	一土田中女
𬎜	一土田中女
𤧖	一土田一女
琾	一土田人中
瑥	一土田人廿
㻁	一土田口
𤤨	一土田尸
㻫	一土田廿十
𤥪	一土田廿廿
𤨴	一土田女火
𤫤	一土田田火
𤫥	一土田田山
瓃	一土田田田
𭯈	一土田卜戈
𭹃	一土田卜戈
㺪	一土卜
琸	一土卜日十
𤧛	一土卜月月
𪼀	一土卜月月
𤦹	一土卜月金
𤫚	一土卜月土
璭	一土卜月十
瓛	一土卜月大
𤫣	一土卜月弓
瓏	一土卜月心
𤩅	一土卜月口
𤩡	一土卜月口
𤧭	一土卜月尸
璿	一土卜月山
𤪻	一土卜月山
𤨬	一土卜金月
𭹾	一土卜金土
珓	一土卜金大
𪼁	一土卜金大
璲	一土卜金人
㻻	一土卜木大
𬎖	一土卜木中
㺳	一土卜水
𦤺	一土卜水
璨	一土卜水木
𤨪	一土卜水木
𤪨	一土卜水大
𤥸	一土卜水中
𤈅	一土卜火
琡	一土卜火水
𪼝	一土卜火山
𤤛	一土卜土
𬎍	一土卜土十
㼀	一土卜土手
㻱	一土卜竹十
𪻑	一土卜竹弓
𤧫	一土卜竹口
𭹱	一土卜竹口
𤤁	一土卜竹尸
𤪿	一土卜竹女
𬍠	一土卜竹女
𪼞	一土卜戈日
㻙	一土卜戈月
㻭	一土卜戈十
𤩻	一土卜戈手
琉	一土卜戈山
珫	一土卜戈山
琉	一土卜戈女
㺶	一土卜十
璉	一土卜十十
㻂	一土卜十十
𤫝	一土卜十一
玟	一土卜大
𪯥	一土卜大
𤧿	一土卜大月
𤨂	一土卜大月
𤩼	一土卜大月
𭺐	一土卜大金
𭹡	一土卜大火
斑	一土卜大土
珳	一土卜大竹
𪻾	一土卜大竹
𤨘	一土卜大十
𫞦	一土卜大中
琏	一土卜大手
㺻	一土卜中月
𤥂	一土卜中金
㻉	一土卜中竹
𤩋	一土卜一月
𪼱	一土卜一金
𤫓	一土卜一大
𰢐	一土卜一一
玼	一土卜一心
琂	一土卜一口
𮘻	一土卜一口
𤪷	一土卜一山
𬎚	一土卜一山
𰡶	一土卜一卜
𤧢	一土卜弓中
𤥩	一土卜弓人
璡	一土卜人土
琗	一土卜人十
𤥿	一土卜人大
𭹪	一土卜人尸
㻯	一土卜心木
𬎏	一土卜心火
𤫗	一土卜心竹
𤩁	一土卜心大
𰢉	一土卜心大
𭹦	一土卜心一
琥	一土卜心弓
𭹰	一土卜心弓
璩	一土卜心人
𤦣	一土卜心人
𤨇	一土卜心手
瓐	一土卜心廿
琥	一土卜心山
𤪽	一土卜心山
玷	一土卜口
𤧼	一土卜口月
𬍳	一土卜口木
琼	一土卜口火
𤧟	一土卜口弓
𤦻	一土卜口弓
𪻥	一土卜口弓
𤪗	一土卜口人
𤦻	一土卜口山
瓖	一土卜口女
𬎊	一土卜口女
𠩝	一土卜尸
𰡵	一土卜尸
㻢	一土卜尸木
𤦽	一土卜尸木
𪻯	一土卜尸大
𪼕	一土卜尸大
玙	一土卜尸一
璇	一土卜尸人
𤧾	一土卜尸山
𤥽	一土卜尸卜
𤤔	一土卜廿
𤩔	一土卜廿土
璋	一土卜廿十
𬍧	一土卜廿十
𪼂	一土卜廿大
璲	一土卜廿人
𪼦	一土卜廿心
琣	一土卜廿口
𤦺	一土卜廿口
琎	一土卜廿廿
璄	一土卜廿山
璃	一土卜山月
𪻰	一土卜山大
𰡻	一土卜山大
玹	一土卜女戈
𪻞	一土卜女人
𤥑	一土卜女女
𤩰	一土卜田木
𰢕	一土卜田木
璮	一土卜田一
瓌	一土卜田女
𤫐	一土卜田女
璾	一土卜難
玣	一土卜卜
瓋	一土卜卜月
𤥥	一土卜卜水
厂	一竹
丆	一竹
乛	一竹
𪛙	一竹
𫝗	一竹日木
厡	一竹日水
𠩴	一竹日水
𠪥	一竹日水
𠫐	一竹日水
原	一竹日火
鳫	一竹日火
䲨	一竹日火
𠪰	一竹日心
𭆅	一竹日山
㸧	一竹日女
𥁆	一竹月廿
𫌟	一竹月山山
𮗍	一竹月山山
𬫧	一竹金
𮢝	一竹金
𤘊	一竹金竹中
𰗔	一竹木
曆	一竹木日
𦠓	一竹木月
𦠩	一竹木月
𩱔	一竹木月
𨬑	一竹木金
厤	一竹木木
㷴	一竹木火
𠩾	一竹木火
𪅼	一竹木火
𡐰	一竹木土
𡓸	一竹木土
𠟄	一竹木竹
𠪺	一竹木竹
㻺	一竹木戈
𩴣	一竹木戈
𠪱	一竹木戈
𡙽	一竹木大
𪺧	一竹木大
歷	一竹木一
𣦯	一竹木一
𤘎	一竹木一口
㽁	一竹木弓
𠪁	一竹木人
𭶸	一竹木人
𠪾	一竹木心
磿	一竹木口
𧯏	一竹木口
𤯍	一竹木廿
𪙪	一竹木山
𧝏	一竹木女
𩞨	一竹木女
𪠚	一竹木田
𠨹	一竹水
𭘇	一竹水口
𠩁	一竹水卜
𭴪	一竹火
𡌑	一竹土
𡏍	一竹土
𰠢	一竹土口
𠀡	一竹土山
𰠥	一竹土田金
鴉	一竹竹日火
𪄏	一竹竹日火
𪇚	一竹竹日火
𪈑	一竹竹日火
𠪊	一竹竹金
𰠤	一竹竹土口
㣉	一竹竹竹
𢒄	一竹竹竹
𢒅	一竹竹竹
𤘐	一竹竹中月
𮓙	一竹竹弓
𤘏	一竹竹心日
𤘋	一竹竹手戈
𰠡	一竹竹手人
𰠤	一竹竹手口
𪖕	一竹竹山中
𠪐	一竹竹田
𤘈	一竹竹難
𠦇	一竹十
𠩻	一竹十水
𢀤	一竹十水
𫨔	一竹十土
厜	一竹十一
𤘓	一竹十心弓
𤘌	一竹大一口
𠡁	一竹大尸
𮓜	一竹中月
𰳋	一竹中一戈
𠚾	一竹中弓
𠛖	一竹中弓
𠟦	一竹中弓
䪵	一竹一月金
𧠀	一竹一十大
𫿞	一竹一十大
𥑱	一竹一口
𮙟	一竹一尸人
𤘆	一竹一女竹
𰠠	一竹一卜
𤘅	一竹弓木
𠨻	一竹弓水
𠁉	一竹弓土
巩	一竹弓戈
𫿞	一竹弓十大
邪	一竹弓中
𬻃	一竹弓中
𠘲	一竹弓弓
𭕋	一竹人火
雅	一竹人土
𠪪	一竹人土
𧰾	一竹人戈戈
𭷒	一竹人戈戈
餮	一竹人戈女
𤛆	一竹人大手
𧰾	一竹人一中
𬌗	一竹人一口
𪫊	一竹人手手
𠪍	一竹人山
厇	一竹心
𢗬	一竹心
𢜍	一竹心
𭜹	一竹心
𮓘	一竹心
𪠔	一竹心水
𭅍	一竹心大大
厎	一竹心一
厩	一竹心山
鸦	一竹心卜一
𤘔	一竹手
𠩙	一竹手戈
𤯔	一竹手一
𰆘	一竹手一
𰆩	一竹手女
𭇢	一竹口
𮓥	一竹口一大
𭷐	一竹口一尸
𨅪	一竹口人竹
𮓥	一竹口女大
𢨥	一竹尸
𠪂	一竹尸月
𠩞	一竹尸木
𰆤	一竹尸水
厩	一竹尸山
𮓡	一竹廿金
𭚗	一竹廿戈
𬌘	一竹山竹戈
𰀐	一竹山戈
𤘍	一竹山中一
𤘑	一竹山一廿
𠨸	一竹女
厎	一竹女戈
𠨿	一竹女心
𭾐	一竹田月廿
𤘉	一竹田金一
𮡘	一竹田土
𠩲	一竹田十
𭞐	一竹田心
𠪇	一竹難水
㕐	一竹難火
𰆞	一竹難弓
𠩫	一竹難山
𭷑	一竹卜金大
𫨕	一竹卜水
𭷏	一竹卜大
𠄭	一竹卜一
𮗿	一竹卜一口
𪺨	一竹卜人十
𤘇	一竹卜口
𠫔	一戈
𢦌	一戈
𰏈	一戈
𢦱	一戈日
𭟺	一戈日
𰆠	一戈日女
𭨨	一戈月
靉	一戈月月水
叆	一戈月月水
𪠑	一戈月戈
𥂫	一戈月廿
𰼵	一戈金
𣕥	一戈木
𣏏	一戈木
𰀑	一戈木竹
𭽻	一戈木竹水
𠀚	一戈火
𤐦	一戈火
䨭	一戈火月
至	一戈土
㦱	一戈土
𡐷	一戈土
𤧠	一戈土中戈
䲰	一戈竹日火
䴇	一戈竹日火
𩿒	一戈竹日火
𩿱	一戈竹日火
𪆚	一戈竹日火
𬷨	一戈竹日火
𰣒	一戈竹竹田
𬰎	一戈竹十土
𠩯	一戈竹中
𣂱	一戈竹一中
𰡿	一戈竹弓月
𰚩	一戈竹手山
魂	一戈竹山戈
㦺	一戈戈
晉	一戈戈日
𠸲	一戈戈月
𭎆	一戈戈土
𩃶	一戈戈大水
𩃶	一戈戈大大
𠦊	一戈十
㕊	一戈十月
厌	一戈大
𰆕	一戈大
𰗜	一戈大木
𪠏	一戈大水
黡	一戈大火
𰉧	一戈大土
厖	一戈大竹
魇	一戈大戈
厣	一戈大中
𩅝	一戈大中山
𩅝	一戈大中女
厐	一戈大心
𰑕	一戈大心
𱁥	一戈大心月
𰓙	一戈大手
动	一戈大尸
𠢑	一戈大尸
𭅀	一戈大尸
𡯊	一戈大山
餍	一戈大女
𰋽	一戈大女
靥	一戈大田
霴	一戈中水
𧒉	一戈中戈
𠀦	一戈中中
𠄴	一戈中中弓
𩃸	一戈中中弓
𠟙	一戈中弓
𠟨	一戈中弓
𠩄	一戈中弓
靅	一戈中弓金
𰷦	一戈中弓人
𩓒	一戈一月金
𫖨	一戈一月金
𮨀	一戈一月金
𮨇	一戈一月金
𤤴	一戈一土戈
𬍼	一戈一戈戈
𰢊	一戈一戈戈
㱐	一戈一一
𫀀	一戈一一火
𤬮	一戈一女弓
𫯕	一戈弓戈卜
鄏	一戈弓中
䢵	一戈弓中
𨚏	一戈弓中
𨚝	一戈弓中
𨝽	一戈弓中
𨞖	一戈弓中
𪜆	一戈弓手
𤴖	一戈弓卜人
𠇌	一戈人
𩃠	一戈人月
𩁎	一戈人土
𰡳	一戈人戈一
霒	一戈人戈弓
𩃷	一戈人戈心
𭣪	一戈人大
𪵣	一戈人一弓
霼	一戈人弓木
𰡳	一戈人卜
𢍼	一戈心
𫺡	一戈心
𤤙	一戈心廿
霕	一戈心山
𰆛	一戈心山
𪉂	一戈心卜一
𬸃	一戈心卜一
𱊪	一戈心卜一
𦓩	一戈手木
𪜞	一戈手大木
𦤳	一戈手一
𩃌	一戈手山
䂖	一戈口
𠷠	一戈口
𫨐	一戈口火
𰚸	一戈口女心
𢨥	一戈尸
𠪂	一戈尸月
𠩞	一戈尸木
𰄠	一戈尸竹
𮋔	一戈尸一一
𧖛	一戈尸心
𫨄	一戈廿
𤩺	一戈廿土戈
𰆫	一戈廿土廿
𱄌	一戈廿竹山
𩅾	一戈廿一女
𫡶	一戈廿一女
𩆦	一戈廿田日
𤣶	一戈山
厖	一戈山竹
𢻽	一戈卜水
𢾯	一戈卜水
靆	一戈卜中水
叇	一戈卜中水
𢦰	一戈卜中一
𬽁	一戈卜一心
𮧀	一戈卜一山
𤨼	一戈卜廿十
干	一十
𨴚	一十日弓
𫷚	一十月月
厧	一十月金
𪠋	一十月一
㿻	一十月廿
㿼	一十月廿
𰤽	一十月廿
𥅝	一十月山
𧵭	一十月山金
䚓	一十月山山
𪠋	一十月女
𧦸	一十月卜口
𠫉	一十金金
𤣪	一十金一
栞	一十木
𫨃	一十木
𤿊	一十木竹水
𢆞	一十木中
𠩼	一十木人
𣸞	一十水水
烎	一十火
㶣	一十火
䊙	一十火木
𠩹	一十火水
𤑶	一十火火
𡊞	一十土
𰋁	一十土
𭘿	一十土戈
鳱	一十竹日火
鷣	一十竹日火
𩿫	一十竹日火
𢆕	一十竹水
𩙀	一十竹弓戈
𠑺	一十竹山
臿	一十竹難
𢧎	一十戈
𭙃	一十戈日女
麉	一十戈難心
𫦢	一十十口弓
聼	一十十田心
𪪅	一十大中山
𪪅	一十大中女
𠖙	一十中月山
𧐵	一十中一戈
刊	一十中弓
𫥶	一十中弓
頇	一十一月金
𩑳	一十一月金
顸	一十一月人
𢆕	一十一水
𰏦	一十一火十
幵	一十一十
𩒖	一十一十金
鳽	一十一十火
雃	一十一十土
形	一十一十竹
郉	一十一十中
𨚾	一十一十中
䍾	一十一十一
㼛	一十一十弓
𠛬	一十一十弓
㰢	一十一十人
𱌿	一十一十心
䙹	一十一十山
𠪫	一十一大
𢆊	一十一弓
𣩸	一十一弓心
𧰪	一十一尸人
㼞	一十一女弓
𤳾	一十一田一
𢏗	一十弓
邗	一十弓中
𨝸	一十弓中
𰺦	一十弓中人
𢏘	一十弓一十
𣣭	一十弓人
𪴪	一十弓人
𫷖	一十弓手
𠭕	一十人水
䧲	一十人土
𩀽	一十人土
𪪆	一十人戈心
敢	一十人大
攼	一十人大
𰏨	一十人一竹
𫷔	一十人弓
𫷝	一十人手月
𫹯	一十心
𫜃	一十心卜一
𱉊	一十心卜一
揅	一十手
舌	一十口
㕆	一十口
𫨒	一十口水
亐	一十尸
𪪄	一十尸竹心
𪪄	一十尸戈心
𪪄	一十尸大心
𭆄	一十尸弓
𢆮	一十廿戈尸
𤮻	一十廿一
𫷛	一十廿一金
𢆛	一十廿廿
𪪁	一十廿廿
𠙻	一十山
𰏢	一十山
𣀋	一十山山大
𠪫	一十女大
𫷕	一十女中水
䵤	一十田土火
厙	一十田十
𪚟	一十卜月十
䶬	一十卜月心
𪚒	一十卜月心
𪪇	一十卜月尸
𭙁	一十卜大
𫷙	一十卜大中
𭙀	一十卜口
天	一大
𰋚	一大
昋	一大日
奣	一大日月
𢡰	一大日月心
𤾄	一大日竹日
𰋭	一大日竹一
蠺	一大日中戈
𭑙	一大日弓
𫯬	一大日心心
𪥉	一大日山
𣎩	一大月
𦙖	一大月
𠀛	一大月
𫨖	一大月弓
𥌅	一大月山
𭾹	一大月山
𮚌	一大月山金
𰷆	一大月山金
銎	一大金
㬲	一大金一廿
𠪎	一大金山
𠪎	一大金女
檿	一大木
𣓁	一大木
𣑦	一大木
𥀬	一大木竹水
沗	一大水
𭕇	一大火
𭧣	一大火日
䊄	一大火木
壓	一大土
𡍶	一大土
𡊼	一大土
𰉛	一大土
鴌	一大竹日火
𪃉	一大竹日火
𪅷	一大竹日火
𪄬	一大竹日火
𪀛	一大竹日火
𪏬	一大竹月金
𧗖	一大竹月廿
𣍛	一大竹金十
䅃	一大竹木
𭷥	一大竹手
甦	一大竹手一
𣮖	一大竹手山
𰀙	一大竹尸月
𠩮	一大竹山
魘	一大竹山戈
𫨨	一大戈
𰏊	一大戈
𣍙	一大戈金金
𣍙	一大戈竹金
𢾘	一大戈弓人
𰀙	一大戈尸月
𣍙	一大戈廿金
𠦘	一大十
𠔬	一大十月金
𫯸	一大十金心
𰋮	一大十十山
䡗	一大十田十
𮝕	一大十田十
𭑤	一大大
𰋡	一大大竹山
𠡣	一大大尸
𭄯	一大大尸
𡗘	一大中
𢅠	一大中月
䗞	一大中戈戈
䘉	一大中戈戈
𮤮	一大中戈尸
𡗤	一大中中
蚕	一大中一戈
蝅	一大中一戈
蛩	一大中一戈
䨿	一大中一卜
㓴	一大中弓
𭄏	一大中弓
肇	一大中手
䪞	一大中尸一
𠄡	一大一
𭆆	一大一
𣀗	一大一木人
𣺶	一大一水
𮦇	一大一水月
𥼅	一大一火木
𤤶	一大一土戈
𣯛	一大一竹山
幵	一大一十
鳽	一大一十火
雃	一大一十土
形	一大一十竹
郉	一大一十中
䍾	一大一十一
㼛	一大一十弓
𠛬	一大一十弓
㰢	一大一十人
𱌿	一大一十心
䙹	一大一十山
𭑈	一大一大
𰋟	一大一大
𰋩	一大一大
𡙎	一大一大大
𡚌	一大一大大
𠢐	一大一大尸
𮦇	一大一中月
𭑆	一大一一戈
𭑇	一大一一戈
𭆑	一大一一尸
𡗣	一大一弓
䂬	一大一口
𮁑	一大一口
𡠉	一大一女
㼦	一大一女弓
㼲	一大一女弓
𨤲	一大一田土
靨	一大一田中
𬻊	一大一卜
𭣼	一大一卜一
𠩇	一大弓竹
𪜂	一大弓戈
𪜂	一大弓大
郠	一大弓中
𭺜	一大弓山
𩼴	一大弓田火
𣻊	一大人水
𩀋	一大人土
饏	一大人戈女
饜	一大人戈女
𩜸	一大人戈女
𪯍	一大人大
𫨥	一大人弓木
𠩘	一大人人
憨	一大心
忝	一大心
恐	一大心
懕	一大心
㤁	一大心
𫺗	一大心
𠔬	一大心月金
𬸉	一大心卜一
擪	一大手
厍	一大手
㧬	一大手
㠫	一大手人
𰋪	一大手卜廿
吞	一大口
啓	一大口
𰏋	一大口
𨟮	一大口日山
𩐄	一大口中一
𩇺	一大口中卜
跫	一大口卜人
功	一大尸
历	一大尸
𭄟	一大尸
𭕲	一大尸竹山
聓	一大尸十
𦖩	一大尸十
𣍇	一大尸十水
𦑃	一大尸一一
𩢽	一大尸手火
𢍗	一大廿
𫨆	一大廿
𠔣	一大廿金
㬲	一大廿金廿
𣍏	一大廿竹一
鞏	一大廿中十
𣍏	一大廿手一
无	一大山
岙	一大山
𫶔	一大山
嬮	一大女
𡛌	一大女
𭒀	一大女
綮	一大女戈火
𦁘	一大女戈火
𡗙	一大女尸
𤰳	一大田
𤳪	一大田
黶	一大田土火
䵡	一大田土火
𪑢	一大田土火
厴	一大田中
𰋯	一大卜月尸
㱘	一大卜中一
𡗶	一大卜一
𪘯	一大卜一山
𪚐	一大卜一山
𥪛	一大卜廿
𡙶	一大卜廿山
𡚑	一大卜廿山
丌	一中
丅	一中
𠃍	一中
𠀥	一中日一
帀	一中月
𢁓	一中月
𫨂	一中月
𮦄	一中月火
兩	一中月人
𮦆	一中月人
雨	一中月卜
𨱘	一中金
𥘅	一中金
𪲑	一中木
𡌯	一中土
𠩍	一中土水
䴇	一中竹日火
𬷫	一中竹日火
𥞱	一中竹木
𫀳	一中竹木
𣂕	一中竹一中
𠀺	一中竹弓
𠁘	一中竹弓
𠇬	一中竹人
𥘅	一中竹山
𫠦	一中戈弓
𢀘	一中中
𫝁	一中中中
亞	一中中一
亜	一中中一
𣅯	一中中一
𤰱	一中中一
𭺪	一中中一
䗝	一中中一戈
𧊡	一中中一戈
𧑧	一中中一戈
𠄙	一中中弓
𠜝	一中中弓
𠟨	一中中弓
𤓯	一中中人
丣	一中中尸
𪚦	一中中山
𥘅	一中中女
覀	一中中田
畱	一中中田
𫝁	一中中田
𬻇	一中中田
工	一中一
䪲	一中一月金
𩓒	一中一月金
𧈫	一中一戈
𧈬	一中一戈
州	一中一中
𣥄	一中一一
𠩓	一中一人
𥔻	一中一口
𮀰	一中一口
𣃞	一中一尸
厞	一中一卜
㓚	一中弓
𪛜	一中弓
𢄉	一中弓月
𨞖	一中弓中
𠀣	一中弓一
𢀑	一中弓一
𧵹	一中人金
𩁎	一中人土
𭀟	一中人山
𨱗	一中人女
𢘑	一中心
𫺡	一中心
𭜺	一中心
㧭	一中手
𪡪	一中口
𭈝	一中口
𠀀	一中尸
𰭸	一中尸十
𫧹	一中尸中
𠨔	一中尸一
𢀓	一中尸一
𮋔	一中尸一一
𩢗	一中尸手火
𢍐	一中廿
𭗻	一中山一
画	一中山田
𡜹	一中女
𬺶	一中女弓
丏	一中女尸
𮓞	一中田月
更	一中田大
𮓠	一中田一
𪠄	一中田山
𪠄	一中田女
二	一一
𠄞	一一
𠄟	一一
𠄠	一一
𣇩	一一日
𫨅	一一日
𣌃	一一日月廿
𤌎	一一日火
𧖔	一一日戈
𭭪	一一日中
𨳌	一一日弓
𨳏	一一日弓
𨴙	一一日弓火
𨶄	一一日弓土
𢎔	一一日心女
𬁶	一一月
𠀙	一一月月
𮭷	一一月月火
𮭶	一一月月戈
𠁖	一一月月中
麗	一一月月心
婯	一一月月女
項	一一月金
𫨌	一一月金
丽	一一月戈月
𰏅	一一月弓木
项	一一月人
𰁔	一一月尸木
𬐝	一一月廿
𥄪	一一月山
䝾	一一月山金
𧷩	一一月山金
𮗒	一一月山山
𡡜	一一月山女
𨪱	一一金
𰌞	一一金木
𧥽	一一金口
𠩚	一一金田
𠄻	一一木木
𣓺	一一木中
𣦚	一一木中
𠨹	一一水
𠬡	一一水
𪴹	一一水土戈
𬆃	一一水十月
𭻑	一一水田
𭱷	一一水田尸
𬆃	一一水卜月
示	一一火
礻	一一火
𤊗	一一火
𣆇	一一火日
𣦎	一一火月口
𠴅	一一火口
𪠹	一一火口
𥘖	一一火女
堊	一一土
𡏄	一一土
𠫁	一一土日
𪤶	一一土金水
𣦥	一一土土山
𠄳	一一土尸
鵡	一一竹日火
鵛	一一竹日火
鵶	一一竹日火
鴊	一一竹日火
䲹	一一竹日火
𩿳	一一竹日火
𪂐	一一竹日火
𩿍	一一竹日火
𪇏	一一竹日火
𫛁	一一竹日火
𮭙	一一竹日火
𧖬	一一竹月廿
𭐠	一一竹水
𮐣	一一竹水人
𮐣	一一竹水卜
𬆆	一一竹竹中
𣥵	一一竹十木
𣂪	一一竹一中
𠙁	一一竹弓
𣪅	一一竹弓水
𬻪	一一竹手戈
𭭯	一一竹手戈
𣬾	一一竹手山
𭭮	一一竹尸月
𣱌	一一竹女心
云	一一戈
𧴳	一一戈金
𣐂	一一戈木
𰁛	一一戈水
𭴉	一一戈火
厔	一一戈土
䰟	一一戈戈
𣫱	一一戈十
𣱉	一一戈心
𭁪	一一戈手
𭭹	一一戈口心
𭭮	一一戈尸月
𢍞	一一戈廿
